Wavelength,Intensity
7.445563269169639398e+02,9.586973312678509496e-01
7.444363329395589517e+02,9.743529860728238345e-01
7.443162708104982812e+02,9.676441720689106241e-01
7.441962478490627291e+02,9.624154572114278494e-01
7.440762099893947834e+02,9.722506196881736118e-01
7.439561577111620636e+02,9.700065608894720137e-01
7.438361441661244271e+02,9.720849095161276932e-01
7.437161162336117286e+02,9.712847989938018234e-01
7.435960735002028059e+02,9.732949906951845476e-01
7.434760168908780997e+02,9.744404869982072892e-01
7.433559985967481225e+02,9.750572643322130695e-01
7.432359660117506337e+02,9.747118623633239665e-01
7.431159191684978396e+02,9.711873564201635167e-01
7.429959110987111899e+02,9.700825640619979984e-01
7.428758358195958635e+02,9.643068955862462710e-01
7.427557993448473326e+02,9.605966069009803654e-01
7.426357482629570086e+02,9.561154048368093461e-01
7.425157359823339220e+02,9.524143485393764541e-01
7.423956566570986979e+02,9.510701262404885892e-01
7.422756161639373431e+02,9.512177057027684235e-01
7.421556144840159277e+02,9.517548866123739515e-01
7.420355987362943324e+02,9.510289849882846980e-01
7.419155156640541691e+02,9.513501251452679552e-01
7.417954718953678821e+02,9.537305638017077314e-01
7.416754665233662536e+02,9.582956857111729621e-01
7.415553943856268688e+02,9.628812004569552441e-01
7.414353611192947255e+02,9.668946242861230500e-01
7.413153139458538590e+02,9.659335687572351281e-01
7.411953051970257320e+02,9.661069060865465907e-01
7.410752298464811929e+02,9.635581548676519503e-01
7.409551938375306008e+02,9.629485949132469136e-01
7.408351435739587032e+02,9.639856151126062755e-01
7.407151322054003231e+02,9.670510500881083216e-01
7.405950543986068624e+02,9.693541642665796099e-01
7.404750150749304112e+02,9.688530744774435099e-01
7.403549624772628022e+02,9.670645340700666504e-01
7.402349483592731758e+02,9.654041932831096684e-01
7.401149205554734181e+02,9.648488794955395464e-01
7.399948790981017055e+02,9.644311516496330006e-01
7.398747714645858196e+02,9.659698585831021367e-01
7.397547553515177015e+02,9.651790601135294967e-01
7.396347252060464825e+02,9.641239714052466381e-01
7.395146819431960239e+02,9.617144001850027601e-01
7.393946247125738864e+02,9.575999666864463133e-01
7.392745539876801786e+02,9.523514457442510128e-01
7.391545747056879918e+02,9.481907406231823154e-01
7.390345294900396311e+02,9.452762482944618849e-01
7.389144708424018972e+02,9.449401445657386045e-01
7.387943983545185347e+02,9.453176028671481657e-01
7.386743648834916485e+02,9.461819737740799763e-01
7.385543708503689686e+02,9.467626223271332631e-01
7.384343106551614255e+02,9.480744406483505582e-01
7.383142367147306686e+02,9.496440446003797664e-01
7.381942022570999598e+02,9.490574397540540996e-01
7.380741545240077812e+02,9.484015897053853505e-01
7.379540931080982773e+02,9.504022505688448641e-01
7.378340707462567707e+02,9.547413748450751525e-01
7.377140351711508401e+02,9.568315278616084107e-01
7.375939864147287608e+02,9.578413480558813919e-01
7.374739245089232327e+02,9.555772969851198395e-01
7.373538490470195939e+02,9.574081039982502705e-01
7.372338652988787544e+02,9.593609751169398514e-01
7.371138158274513899e+02,9.599344708337406162e-01
7.369937533005171417e+02,9.586790569171806942e-01
7.368736777499353821e+02,9.552132271048977552e-01
7.367536413198729406e+02,9.493347764389951093e-01
7.366335918958665161e+02,9.429447721859274267e-01
7.365135290720992316e+02,9.372616907961683896e-01
7.363935053796794818e+02,9.331719320125084760e-01
7.362734691924034678e+02,9.311347576085565736e-01
7.361534196672060943e+02,9.325071113676753898e-01
7.360333568362738106e+02,9.362135351172787834e-01
7.359132816056179536e+02,9.404445778779112475e-01
7.357932455463097767e+02,9.416501117453942582e-01
7.356732482025490754e+02,9.425380527973151734e-01
7.355531861068049011e+02,9.429454972096089627e-01
7.354331112673179405e+02,9.443011241252579069e-01
7.353130756244902386e+02,9.453773945651714472e-01
7.351930272673406535e+02,9.472218602788405883e-01
7.350729662275111878e+02,9.502838049279124233e-01
7.349528921008480893e+02,9.531317064660903560e-01
7.348329090369420555e+02,9.540641765194664004e-01
7.347128619291929681e+02,9.532854484824928587e-01
7.345928017959487306e+02,9.543237943999014483e-01
7.344727286692046846e+02,9.560799205622112495e-01
7.343526952243056485e+02,9.584140059153930524e-01
7.342325970591231226e+02,9.598164618247719826e-01
7.341125903440812408e+02,9.555667355679312580e-01
7.339925189720760272e+02,9.496329445544796632e-01
7.338725385769123477e+02,9.460712739822483286e-01
7.337524423340620388e+02,9.456707019938381809e-01
7.336323849574105225e+02,9.435291190851801124e-01
7.335123672962441788e+02,9.428302873306358967e-01
7.333922851871883495e+02,9.422613226871932035e-01
7.332722428223779616e+02,9.469328648012095284e-01
7.331521877106951024e+02,9.519598139791812796e-01
7.330321198839593535e+02,9.499343598559043533e-01
7.329121433813006661e+02,9.487124789330475538e-01
7.327920514854401972e+02,9.487453926988494990e-01
7.326719985055563029e+02,9.468042963369960319e-01
7.325519333360454084e+02,9.469951169284623882e-01
7.324319079437658502e+02,9.460594340701157234e-01
7.323118180392609702e+02,9.491472667591435153e-01
7.321917679408152253e+02,9.504869162328788423e-01
7.320717057441667066e+02,9.483415048066846653e-01
7.319517339188115557e+02,9.465873476288862998e-01
7.318316475859157890e+02,9.468514518411278447e-01
7.317116002181036265e+02,9.483702946156585822e-01
7.315915408435865857e+02,9.507531449016106695e-01
7.314715208613348523e+02,9.521598360638285907e-01
7.313514371186165590e+02,9.524315887001925107e-01
7.312313932284653220e+02,9.529201672111026200e-01
7.311113369913749693e+02,9.507303706875708249e-01
7.309912688700100034e+02,9.513821006913626421e-01
7.308712914624904897e+02,9.505312137972641295e-01
7.307511996322438108e+02,9.505451219426106491e-01
7.306311472608690565e+02,9.500134881353463623e-01
7.305111338983926998e+02,9.509385538454636633e-01
7.303910579543055519e+02,9.498523994019333339e-01
7.302710210478520594e+02,9.488986518772205558e-01
7.301509212251719418e+02,9.480967147855000610e-01
7.300308608990492303e+02,9.478909986705946755e-01
7.299108396201817186e+02,9.447255321539093087e-01
7.297908070968983338e+02,9.434487133077220644e-01
7.296707629302202349e+02,9.412347272125241027e-01
