Wavelength,Intensity
3.217508849999999825e+02,9.789194662373779110e-01
3.218581848000000036e+02,9.709486709217138856e-01
3.219654540999999881e+02,9.820341698424149834e-01
3.220727539000000093e+02,9.872917332680893887e-01
3.221800536999999736e+02,9.698742190013863729e-01
3.222873839999999745e+02,9.640536532555833427e-01
3.223946837999999957e+02,9.675496365382519892e-01
3.225020142000000192e+02,9.538575911885850411e-01
3.226093445000000202e+02,9.603537494905601823e-01
3.227167053000000010e+02,9.548307220034469855e-01
3.228240356000000020e+02,9.698093316006115572e-01
3.229313965000000053e+02,9.295773837885340507e-01
3.230387572999999861e+02,9.423143096924754269e-01
3.231461181999999894e+02,9.363500696808060297e-01
3.232535095000000069e+02,9.549726725007060546e-01
3.233609008999999901e+02,9.178955425287902425e-01
3.234682922000000076e+02,9.542313276298740599e-01
3.235756835999999907e+02,9.533549138549208823e-01
3.236830749999999739e+02,9.654464242402941432e-01
3.237904968000000281e+02,9.581383689055027464e-01
3.238979186999999911e+02,9.624566906303343439e-01
3.240053406000000109e+02,9.621119157825651635e-01
3.241127930000000106e+02,9.788610808712302491e-01
3.242202148000000079e+02,9.744360855477645078e-01
3.243276672000000076e+02,9.783407963255724704e-01
3.244351196000000073e+02,9.870566743393451858e-01
3.245426024999999868e+02,9.779500996804466606e-01
3.246500548999999864e+02,9.752814223805845728e-01
3.247575378000000228e+02,9.758274628360232850e-01
3.248650208000000248e+02,9.325471859928109453e-01
3.249725037000000043e+02,9.711762462565435294e-01
3.250800171000000205e+02,9.390185884772227487e-01
3.251875304999999798e+02,9.594081960376399376e-01
3.252950438999999960e+02,9.421054544956046772e-01
3.254025573999999779e+02,9.549270130790554756e-01
3.255100707999999941e+02,9.279353016509219731e-01
3.256176146999999901e+02,9.504692435196471223e-01
3.257251587000000086e+02,9.478164670497684074e-01
3.258327026000000046e+02,9.557891552351425180e-01
3.259402466000000231e+02,9.416816708616883025e-01
3.260478209999999990e+02,9.669550316394530665e-01
3.261553954999999974e+02,9.651778559567143478e-01
3.262629699999999957e+02,9.758553747540410495e-01
3.263705444000000284e+02,9.621254110896650946e-01
3.264781494000000066e+02,9.806652110249253207e-01
3.265857543999999848e+02,9.896946054731342590e-01
3.266933594000000198e+02,9.889218553629470776e-01
3.268009643999999980e+02,9.716994139560863886e-01
3.269085999000000129e+02,9.748373159226900730e-01
3.270162048000000254e+02,9.572047295000032374e-01
3.271238402999999835e+02,9.649981353515528770e-01
3.272314757999999983e+02,9.060142181669175176e-01
3.273391417999999931e+02,9.450770354790701822e-01
3.274468079000000102e+02,9.251569876943918080e-01
3.275544434000000251e+02,9.539007262704212176e-01
3.276621398999999997e+02,9.327401580494105726e-01
3.277698058999999944e+02,9.498728535198193157e-01
3.278775024000000258e+02,9.344988900459506587e-01
3.279851684999999861e+02,9.632141443075272758e-01
3.280928954999999974e+02,9.521215118096136854e-01
3.282005919999999719e+02,9.591239688318916601e-01
3.283082886000000258e+02,9.561842911006410706e-01
3.284160155999999802e+02,9.798283882277907253e-01
3.285237427000000139e+02,9.752260687072716872e-01
3.286314697000000251e+02,9.809569162180962199e-01
3.287392272999999818e+02,9.607217645341344925e-01
3.288469848999999954e+02,9.831289151482136557e-01
3.289547423999999864e+02,9.722906379577285207e-01
3.290625000000000000e+02,9.720825306100986385e-01
3.291702576000000136e+02,9.513593573334290232e-01
3.292780457000000069e+02,9.540554603191185867e-01
3.293858336999999779e+02,9.114432992803450650e-01
3.294936218000000281e+02,9.483969971827892476e-01
3.296014099000000215e+02,9.068967697252163784e-01
3.297092284999999947e+02,9.481604247635500027e-01
3.298170165999999881e+02,9.255611869686142246e-01
3.299248352000000182e+02,9.531911330510570712e-01
3.300326843000000281e+02,9.380908574658329835e-01
3.301405029000000013e+02,9.587281935049594139e-01
3.302483520999999769e+02,9.563103287174214984e-01
3.303562011999999868e+02,9.652367633485789966e-01
3.304640502999999967e+02,9.534692671449398471e-01
3.305719298999999864e+02,9.751182089655909824e-01
3.306797791000000188e+02,9.667287269328891375e-01
3.307876587000000086e+02,9.823783862834831737e-01
3.308955382999999983e+02,9.753212791746319610e-01
3.310034484999999904e+02,9.838790072885703619e-01
3.311113280999999802e+02,9.742886074154333276e-01
3.312192382999999722e+02,9.604294330981579808e-01
3.313271483999999987e+02,9.452435794260288793e-01
3.314350585999999907e+02,9.422238988336115728e-01
3.315429993000000195e+02,9.329145299882203313e-01
3.316509093999999891e+02,9.409149784870605160e-01
3.317588501000000178e+02,9.118972890218927096e-01
3.318668213000000264e+02,9.434481046917539970e-01
3.319747619999999984e+02,9.225561055791902110e-01
3.320827332000000069e+02,9.552154806844400659e-01
3.321907042999999931e+02,9.574680630806098325e-01
3.322986755000000016e+02,9.650635674235232830e-01
3.324066467000000102e+02,9.594721289612040405e-01
